# x	y	u	v	mask
  0.9946	  3.4811	 -0.0545	  0.6082	  0.0000
  1.1604	  3.4811	  0.0925	  0.5289	  0.0000
  1.3262	  3.4811	  0.3494	  0.0660	  0.0000
  1.4919	  3.4811	  0.0307	  0.0572	  0.0000
  1.6577	  3.4811	  0.0132	  0.2181	  0.0000
  1.8235	  3.4811	 -0.0117	  0.3709	  0.0000
  1.9892	  3.4811	  0.0788	 -0.2989	  0.0000
  2.1550	  3.4811	  0.0192	 -0.2297	  0.0000
  2.3208	  3.4811	 -0.0900	 -0.0760	  0.0000
  2.4865	  3.4811	  0.0224	 -0.0067	  0.0000
  2.6523	  3.4811	  0.2307	 -0.1327	  0.0000
  2.8181	  3.4811	  0.1808	 -0.2555	  0.0000
  2.9838	  3.4811	 -0.1031	 -0.1033	  0.0000
  3.1496	  3.4811	 -0.0171	 -0.0238	  0.0000
  3.3154	  3.4811	 -0.0120	  0.0092	  0.0000
  3.4811	  3.4811	 -0.0048	  0.0168	  0.0000
  3.6469	  3.4811	  0.0021	 -0.0019	  0.0000
  3.8127	  3.4811	  0.0029	 -0.0035	  0.0000
  3.9785	  3.4811	  0.0248	 -0.0346	  0.0000
  4.1442	  3.4811	 -0.0635	 -0.2420	  0.0000
  4.3100	  3.4811	 -0.0235	 -0.1371	  0.0000
  4.4758	  3.4811	 -0.0187	  0.0101	  0.0000
  4.6415	  3.4811	 -0.0037	  0.0036	  0.0000
  4.8073	  3.4811	  0.0023	 -0.0007	  0.0000
  4.9731	  3.4811	 -0.0200	 -0.0048	  0.0000
  5.1388	  3.4811	  0.0277	 -0.0297	  0.0000
  5.3046	  3.4811	  0.1013	  0.0486	  0.0000
  5.4704	  3.4811	 -0.0526	  0.0197	  0.0000
  5.6361	  3.4811	 -0.1146	  0.0048	  0.0000
  5.8019	  3.4811	  0.0382	  0.2003	  0.0000
  5.9677	  3.4811	  0.0588	 -0.0000	  0.0000
  6.1334	  3.4811	 -0.0048	  0.0000	  0.0000
  6.2992	  3.4811	 -0.0314	  0.0408	  0.0000
  6.4650	  3.4811	  0.0014	 -0.0024	  0.0000
  0.1658	  3.3154	  0.1096	 -0.0179	  0.0000
  0.3315	  3.3154	 -0.0065	  0.0080	  0.0000
  0.4973	  3.3154	 -0.0446	  0.0118	  0.0000
  0.6631	  3.3154	 -0.0077	  0.0285	  0.0000
  0.8288	  3.3154	  0.2341	  0.5975	  0.0000
  0.9946	  3.3154	 -3.7248	  5.0589	  0.0000
  1.1604	  3.3154	  0.0193	  0.4057	  0.0000
  1.3262	  3.3154	  0.1587	  0.1942	  0.0000
  1.4919	  3.3154	 -0.0048	 -0.0877	  0.0000
  1.6577	  3.3154	  0.0280	 -0.0270	  0.0000
  1.8235	  3.3154	 -0.1322	  0.0558	  0.0000
  1.9892	  3.3154	 -0.0119	 -0.4456	  0.0000
  2.1550	  3.3154	  0.0030	 -0.4184	  0.0000
  2.3208	  3.3154	 -0.0423	 -0.0942	  0.0000
  2.4865	  3.3154	  0.0265	  0.0041	  0.0000
  2.6523	  3.3154	  0.0885	 -0.0266	  0.0000
  2.8181	  3.3154	  0.0148	 -0.1189	  0.0000
  2.9838	  3.3154	 -0.0877	 -0.0467	  0.0000
  3.1496	  3.3154	 -0.0227	 -0.0118	  0.0000
  3.3154	  3.3154	 -0.0607	 -0.0115	  0.0000
  3.4811	  3.3154	 -0.0320	 -0.0222	  0.0000
  3.6469	  3.3154	 -0.0016	  0.0001	  0.0000
  3.8127	  3.3154	 -0.0000	  0.0015	  0.0000
  3.9785	  3.3154	  0.1197	  0.0724	  0.0000
  4.1442	  3.3154	  0.0600	 -0.2104	  0.0000
  4.3100	  3.3154	 -0.0327	 -0.0331	  0.0000
  4.4758	  3.3154	 -0.0053	  0.0105	  0.0000
  4.6415	  3.3154	 -0.0040	  0.0030	  0.0000
  4.8073	  3.3154	  0.0002	  0.0035	  0.0000
  4.9731	  3.3154	 -0.0213	 -0.0182	  0.0000
  5.1388	  3.3154	 -0.2387	 -0.1162	  0.0000
  5.3046	  3.3154	  0.0029	 -0.0282	  0.0000
  5.4704	  3.3154	  0.0071	  0.0089	  0.0000
  5.6361	  3.3154	 -0.0383	  0.0131	  0.0000
  5.8019	  3.3154	  0.0317	 -0.0034	  0.0000
  5.9677	  3.3154	  0.2446	  0.2938	  0.0000
  6.1334	  3.3154	  0.0634	  0.1463	  0.0000
  6.2992	  3.3154	 -0.0123	 -0.0026	  0.0000
  6.4650	  3.3154	 -0.0050	  0.0005	  0.0000
  0.1658	  3.1496	  0.1212	  0.4149	  0.0000
  0.3315	  3.1496	 -0.0037	  0.0127	  0.0000
  0.4973	  3.1496	  0.0790	  0.0079	  0.0000
  0.6631	  3.1496	  0.0263	  0.0115	  0.0000
  0.8288	  3.1496	 -0.0802	  0.1094	  0.0000
  0.9946	  3.1496	 -3.4695	  5.2263	  0.0000
  1.1604	  3.1496	  2.0386	 -6.9633	  0.0000
  1.3262	  3.1496	 -0.2091	 -0.0615	  0.0000
  1.4919	  3.1496	  0.0818	 -0.0600	  0.0000
  1.6577	  3.1496	  0.2578	 -0.1146	  0.0000
  1.8235	  3.1496	  0.1605	 -0.1899	  0.0000
  1.9892	  3.1496	 -0.0366	 -0.3867	  0.0000
  2.1550	  3.1496	 -0.0900	 -0.2742	  0.0000
  2.3208	  3.1496	 -0.0407	  0.1119	  0.0000
  2.4865	  3.1496	 -0.0069	  0.0223	  0.0000
  2.6523	  3.1496	  0.0116	  0.0293	  0.0000
  2.8181	  3.1496	  0.0343	  0.0374	  0.0000
  2.9838	  3.1496	 -0.0142	 -0.0750	  0.0000
  3.1496	  3.1496	 -0.0069	 -0.0306	  0.0000
  3.3154	  3.1496	 -0.0711	 -0.0082	  0.0000
  3.4811	  3.1496	 -0.0539	 -0.0100	  0.0000
  3.6469	  3.1496	 -0.0053	 -0.0037	  0.0000
  3.8127	  3.1496	 -0.0032	  0.0053	  0.0000
  3.9785	  3.1496	  0.2817	  0.2236	  0.0000
  4.1442	  3.1496	  0.0280	  0.0824	  0.0000
  4.3100	  3.1496	 -0.1022	  0.0324	  0.0000
  4.4758	  3.1496	 -0.0167	  0.0083	  0.0000
  4.6415	  3.1496	 -0.0099	 -0.0037	  0.0000
  4.8073	  3.1496	 -0.0009	 -0.0058	  0.0000
